,lr,momentum,std,best_test_acc,best_train_acc
0,0.001,0.0,0.1,0.178125,0.1457674050632911
1,0.001,0.0,0.5,0.1568359375,0.1398338607594936
2,0.001,0.0,1.0,0.1591796875,0.1412183544303797
3,0.001,0.2,0.1,0.2115234375,0.1837420886075949
4,0.001,0.2,0.5,0.185546875,0.1799841772151898
5,0.001,0.2,1.0,0.1373046875,0.1752373417721519
6,0.001,0.4,0.1,0.21484375,0.2387262658227848
7,0.001,0.4,0.5,0.2287109375,0.2223101265822784
8,0.001,0.4,1.0,0.229296875,0.2298259493670886
9,0.001,0.6,0.1,0.2662109375,0.285007911392405
10,0.001,0.6,0.5,0.2890625,0.271756329113924
11,0.001,0.6,1.0,0.27578125,0.2672072784810126
12,0.001,0.8,0.1,0.3548828125,0.3670886075949367
13,0.001,0.8,0.5,0.3138671875,0.3870648734177215
14,0.001,0.8,1.0,0.323828125,0.3682753164556962
15,0.001,0.9,0.1,0.395703125,0.454509493670886
16,0.001,0.9,0.5,0.3619140625,0.4956487341772151
17,0.001,0.9,1.0,0.312890625,0.4363132911392405
18,0.01,0.0,0.1,0.362890625,0.4551028481012658
19,0.01,0.0,0.5,0.3423828125,0.4895174050632911
20,0.01,0.0,1.0,0.319140625,0.4367088607594936
21,0.01,0.2,0.1,0.384375,0.4758702531645569
22,0.01,0.2,0.5,0.373046875,0.5130537974683544
23,0.01,0.2,1.0,0.2953125,0.4106012658227848
24,0.01,0.4,0.1,0.3857421875,0.5199762658227848
25,0.01,0.4,0.5,0.38046875,0.5611155063291139
26,0.01,0.4,1.0,0.333203125,0.4740901898734177
27,0.01,0.6,0.1,0.0953125,0.1137262658227848
28,0.01,0.6,0.5,0.0953125,0.1137262658227848
29,0.01,0.6,1.0,0.0953125,0.1123417721518987
30,0.01,0.8,0.1,0.101953125,0.1123417721518987
31,0.01,0.8,0.5,0.0955078125,0.1123417721518987
32,0.01,0.8,1.0,0.0955078125,0.1123417721518987
33,0.01,0.9,0.1,0.0955078125,0.1123417721518987
34,0.01,0.9,0.5,0.0953125,0.1137262658227848
35,0.01,0.9,1.0,0.0953125,0.1123417721518987
36,0.1,0.0,0.1,0.0953125,0.1109572784810126
37,0.1,0.0,0.5,0.0953125,0.1123417721518987
38,0.1,0.0,1.0,0.0953125,0.1123417721518987
39,0.1,0.2,0.1,0.0953125,0.1109572784810126
40,0.1,0.2,0.5,0.1021484375,0.1137262658227848
41,0.1,0.2,1.0,0.0953125,0.1109572784810126
42,0.1,0.4,0.1,0.0953125,0.1109572784810126
43,0.1,0.4,0.5,0.0953125,0.1123417721518987
44,0.1,0.4,1.0,0.1021484375,0.1123417721518987
45,0.1,0.6,0.1,0.1021484375,0.1109572784810126
46,0.1,0.6,0.5,0.1021484375,0.1109572784810126
47,0.1,0.6,1.0,0.1021484375,0.1113528481012658
48,0.1,0.8,0.1,0.1021484375,0.1129351265822784
49,0.1,0.8,0.5,0.1021484375,0.1099683544303797
50,0.1,0.8,1.0,0.1021484375,0.1119462025316455
51,0.1,0.9,0.1,0.112890625,0.1129351265822784
52,0.1,0.9,0.5,0.1021484375,0.1113528481012658
53,0.1,0.9,1.0,0.112890625,0.1097705696202531
54,0.2,0.0,0.1,0.0953125,0.1123417721518987
55,0.2,0.0,0.5,0.0955078125,0.1125395569620253
56,0.2,0.0,1.0,0.101953125,0.1113528481012658
57,0.2,0.2,0.1,0.1021484375,0.1121439873417721
58,0.2,0.2,0.5,0.1021484375,0.1113528481012658
59,0.2,0.2,1.0,0.1021484375,0.1109572784810126
60,0.2,0.4,0.1,0.1021484375,0.1109572784810126
61,0.2,0.4,0.5,0.1021484375,0.1143196202531645
62,0.2,0.4,1.0,0.1021484375,0.1097705696202531
63,0.2,0.6,0.1,0.1021484375,0.1135284810126582
64,0.2,0.6,0.5,0.1021484375,0.110759493670886
65,0.2,0.6,1.0,0.1021484375,0.1113528481012658
66,0.2,0.8,0.1,0.111328125,0.110759493670886
67,0.2,0.8,0.5,0.112890625,0.1111550632911392
68,0.2,0.8,1.0,0.112890625,0.110759493670886
69,0.2,0.9,0.1,0.112890625,0.1117484177215189
70,0.2,0.9,0.5,0.112890625,0.1089794303797468
71,0.2,0.9,1.0,0.112890625,0.1077927215189873
72,0.3,0.0,0.1,0.101953125,0.1109572784810126
73,0.3,0.0,0.5,0.1021484375,0.1127373417721519
74,0.3,0.0,1.0,0.1021484375,0.1121439873417721
75,0.3,0.2,0.1,0.1021484375,0.1143196202531645
76,0.3,0.2,0.5,0.1021484375,0.1117484177215189
77,0.3,0.2,1.0,0.1021484375,0.1097705696202531
78,0.3,0.4,0.1,0.1021484375,0.1137262658227848
79,0.3,0.4,0.5,0.1021484375,0.109375
80,0.3,0.4,1.0,0.1021484375,0.1085838607594936
81,0.3,0.6,0.1,0.111328125,0.1129351265822784
82,0.3,0.6,0.5,0.112890625,0.1111550632911392
83,0.3,0.6,1.0,0.112890625,0.1073971518987341
84,0.3,0.8,0.1,0.112890625,0.1117484177215189
85,0.3,0.8,0.5,0.112890625,0.113132911392405
86,0.3,0.8,1.0,0.112890625,0.1101661392405063
87,0.3,0.9,0.1,0.112890625,0.1105617088607595
88,0.3,0.9,0.5,0.112890625,0.1097705696202531
89,0.3,0.9,1.0,0.112890625,0.1089794303797468
